,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7
,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax
,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult
dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data2_19_1,0.976770535,0.03216081951,0.376353933283,1.25,0.976770535,0.03216081951,0.376353933283,1.25,0.976770535,0.03216081951,0.376353933283,1.25,0.975660635,0.029398500914,0.408864268406,2.0,0.975660635,0.029398500914,0.408864268406,2.0,0.975660635,0.029398500914,0.408864268406,2.0,0.97977538,0.0130493103904,0.252717358778,1.5,0.97977538,0.0130493103904,0.252717358778,1.5,0.977491545,0.0268645567678,0.346069160442,1.25,0.977065225,0.030081918005,0.364281614102,1.25,0.977065225,0.030081918005,0.364281614102,1.25,0.96886354,0.0193014882034,0.648701911222,2.5,0.979620775,0.0190413821192,0.266340045676,1.5,0.979620775,0.0190413821192,0.266340045676,1.5,0.976037435,0.034686788681,0.402188354536,1.25,0.98095412,0.0166018669723,0.223200813923,1.25,0.98095412,0.0166018669723,0.223200813923,1.25,0.98095412,0.0166018669723,0.223200813923,1.25
data2_19_2,0.98559176,0.024274598665,0.337154547778,1.25,0.98559176,0.024274598665,0.337154547778,1.25,0.98559176,0.024274598665,0.337154547778,1.25,0.984755055,0.0277464855814,0.378478572432,1.75,0.984755055,0.0277464855814,0.378478572432,1.75,0.98238805,0.0318459812184,0.478254374583,1.25,0.98402273,0.0255472996108,0.405192976434,1.25,0.98402273,0.0255472996108,0.405192976434,1.25,0.974138905,0.0302826965567,0.783072756338,2.25,0.9823687,0.0283085732469,0.47780566904,1.5,0.9823687,0.0283085732469,0.47780566904,1.5,0.98163384,0.0231969814911,0.509379098995,2.0,0.982349335,0.0259516162934,0.477810140388,1.25,0.982349335,0.0259516162934,0.477810140388,1.25,0.982349335,0.0259516162934,0.477810140388,1.25,0.983289565,0.0253915004589,0.436536141162,1.25,0.983289565,0.0253915004589,0.436536141162,1.25,0.983289565,0.0253915004589,0.436536141162,1.25
data2_2,0.60283599,0.0538168518241,0.568636218159,3.25,0.60283599,0.0538168518241,0.568636218159,3.25,0.596585215,0.0473402767117,0.712909977025,2.5,0.63124118,0.0464603916494,0.0629741932623,3.5,0.630598295,0.0381463581746,0.0551904620944,6.5,0.621175785,0.0433387036832,0.168945295031,5.0,0.661596375,0.039575185813,0.000432985690023,6.25,0.661596375,0.039575185813,0.000432985690023,6.25,0.65812724,0.0357464859066,0.000629454821955,7.75,0.66358387,0.043943687187,0.000424156446347,6.0,0.66358387,0.043943687187,0.000424156446347,6.0,0.662816945,0.0424441810545,0.000431696124362,6.5,0.664684055,0.0403536928103,0.000260229795789,8.5,0.66348228,0.0368933959381,0.00025094360139,9.25,0.661241515,0.035129329759,0.000338849338137,7.75,0.666943115,0.0426333368909,0.000206781721067,7.5,0.666943115,0.0426333368909,0.000206781721067,7.5,0.66402168,0.0406407712467,0.00030079887146,9.75
data2_26,0.94285714,0.105182570191,0.220146045089,8.0,0.94285714,0.105182570191,0.220146045089,8.0,0.941071425,0.108867698448,0.237749474787,3.0,0.940178565,0.0887615159411,0.228268008961,2.0,0.940178565,0.0887615159411,0.228268008961,2.0,0.940178565,0.0887615159411,0.228268008961,2.0,0.98214285,0.0357143,0.0148380054779,2.5,0.98214285,0.0357143,0.0148380054779,2.5,0.978571425,0.0391230391354,0.0196999385635,3.0,0.98571428,0.0269263334464,0.0107240758852,5.0,0.98571428,0.0269263334464,0.0107240758852,5.0,0.98214285,0.0317329882874,0.0144121392044,5.5,0.98571428,0.0269263334464,0.0107240758852,2.5,0.98571428,0.0269263334464,0.0107240758852,2.5,0.980357135,0.0294849384898,0.0161745741806,4.25,0.982142855,0.037546960571,0.0150556057165,2.75,0.982142855,0.037546960571,0.0150556057165,2.75,0.971428565,0.0427316488461,0.0331244966925,3.25
data2_27,0.97850379,0.044842053661,0.225483543047,3.25,0.97850379,0.044842053661,0.225483543047,3.25,0.974384475,0.0460276992518,0.314216591024,2.5,0.97466856,0.0501916270079,0.314728403464,1.25,0.97466856,0.0501916270079,0.314728403464,1.25,0.97466856,0.0501916270079,0.314728403464,1.25,0.982481055,0.0248321406204,0.117101572402,2.0,0.982481055,0.0248321406204,0.117101572402,2.0,0.982481055,0.0248321406204,0.117101572402,2.0,0.982670455,0.0219886401029,0.110100426092,1.5,0.982670455,0.0219886401029,0.110100426092,1.5,0.98001894,0.0399159445806,0.186721596888,1.25,0.97784091,0.0281477166374,0.205358790655,2.0,0.97784091,0.0281477166374,0.205358790655,2.0,0.97637311,0.0380844136929,0.255613768609,1.25,0.97713068,0.0293299633122,0.222679757479,2.0,0.97713068,0.0293299633122,0.222679757479,2.0,0.97012311,0.0695636816652,0.432725952198,1.25
data2_28,0.981481485,0.0349044867729,0.468450197052,1.75,0.981481485,0.0349044867729,0.468450197052,1.75,0.97962964,0.0300935188461,0.543996558492,2.75,0.974305565,0.0346604328204,0.733348646934,1.25,0.974305565,0.0346604328204,0.733348646934,1.25,0.974305565,0.0346604328204,0.733348646934,1.25,0.987500005,0.0200454689402,0.196884185731,1.25,0.987500005,0.0200454689402,0.196884185731,1.25,0.987500005,0.0200454689402,0.196884185731,1.25,0.973842595,0.0377990275931,0.736880373747,1.75,0.973842595,0.0377990275931,0.736880373747,1.75,0.972685185,0.0384096292294,0.768205120721,2.0,0.985995375,0.0293810660913,0.284142337798,1.25,0.985995375,0.0293810660913,0.284142337798,1.25,0.985995375,0.0293810660913,0.284142337798,1.25,0.98553242,0.0222013216974,0.278237439724,1.25,0.98553242,0.0222013216974,0.278237439724,1.25,0.98553242,0.0222013216974,0.278237439724,1.25
data2_29,0.951666655,0.0734090577533,0.386514574479,1.25,0.951666655,0.0734090577533,0.386514574479,1.25,0.944333325,0.0714846843696,0.511666197087,3.0,0.94333333,0.0827452880233,0.526950109323,1.25,0.94333333,0.0827452880233,0.526950109323,1.25,0.94333333,0.0827452880233,0.526950109323,1.25,0.974000005,0.0417679436385,0.0642439629567,1.75,0.974000005,0.0417679436385,0.0642439629567,1.75,0.96233334,0.0421234636453,0.179342017717,4.75,0.969333325,0.0462588807342,0.105690190366,2.25,0.969333325,0.0462588807342,0.105690190366,2.25,0.959,0.0419007504574,0.22840413672,4.25,0.96566667,0.0380995925751,0.132248312636,2.25,0.96566667,0.0380995925751,0.132248312636,2.25,0.96566667,0.0380995925751,0.132248312636,2.25,0.959333345,0.0431995220626,0.224863722072,2.75,0.959333345,0.0431995220626,0.224863722072,2.75,0.958666675,0.0468717289073,0.240367449511,3.0
data2_3,0.635481905,0.0950109633813,0.977374309629,5.75,0.63451599,0.105850333723,0.973110578042,3.5,0.62119949,0.100771655373,0.990780829625,8.75,0.715599755,0.0930447145652,0.296347062434,3.25,0.715599755,0.0930447145652,0.296347062434,3.25,0.70218434,0.083174070365,0.458861447329,3.75,0.68410143,0.125003961431,0.66217070415,4.0,0.68410143,0.125003961431,0.66217070415,4.0,0.664745375,0.122984887932,0.831582393229,5.25,0.675873315,0.0872485547255,0.781995373081,6.0,0.675873315,0.0872485547255,0.781995373081,6.0,0.667089645,0.09623557486,0.846755199696,4.75,0.689099335,0.109651355341,0.618667934882,4.25,0.689099335,0.109651355341,0.618667934882,4.25,0.6596591,0.116192100518,0.872310681313,4.75,0.6823043,0.100505671537,0.701559670159,3.25,0.6823043,0.100505671537,0.701559670159,3.25,0.671445705,0.10040865681,0.807062317222,6.75
data2_30,0.997053575,0.00627411036955,0.294872550089,2.0,0.997053575,0.00627411036955,0.294872550089,2.0,0.99526099,0.0174520018734,0.515666921884,5.0,0.98528846,0.0355365157468,0.881709014665,1.25,0.98528846,0.0355365157468,0.881709014665,1.25,0.98528846,0.0355365157468,0.881709014665,1.25,0.998660715,0.00598946460249,0.139946662145,2.75,0.998660715,0.00598946460249,0.139946662145,2.75,0.995982145,0.0131078631412,0.445919378062,3.0,0.99660714,0.00878455374695,0.361659502827,1.75,0.99660714,0.00878455374695,0.361659502827,1.75,0.99423077,0.0258007809157,0.57547085606,4.5,0.99468407,0.0144878912588,0.572377058686,1.25,0.99468407,0.0144878912588,0.572377058686,1.25,0.99468407,0.0144878912588,0.572377058686,1.25,0.99696428,0.00827698178671,0.318364041918,1.5,0.99696428,0.00827698178671,0.318364041918,1.5,0.99052884,0.0226248451415,0.802865110655,1.25
data2_31,0.981761125,0.030611200605,0.36088014263,3.5,0.981761125,0.030611200605,0.36088014263,3.5,0.98088121,0.0305302755753,0.394162283008,3.0,0.97623576,0.0369540200023,0.570817157687,1.25,0.97623576,0.0369540200023,0.570817157687,1.25,0.97623576,0.0369540200023,0.570817157687,1.25,0.986018375,0.0159476161962,0.168952018429,3.0,0.986018375,0.0159476161962,0.168952018429,3.0,0.98482789,0.0189996415963,0.216552131112,2.75,0.98605073,0.0146251723761,0.164375776133,4.25,0.98605073,0.0146251723761,0.164375776133,4.25,0.98554607,0.0275921273008,0.221383480323,2.5,0.986801245,0.0169591639513,0.149161413707,3.25,0.986801245,0.0169591639513,0.149161413707,3.25,0.984931415,0.0191513484241,0.213472344587,3.75,0.9879076,0.0235792807068,0.141671444267,1.25,0.9879076,0.0235792807068,0.141671444267,1.25,0.9879076,0.0235792807068,0.141671444267,1.25
