dataset,mean,std
data_art_065,0.897512505,0.103875318114
data_art_067,0.436663485,0.259232265153
data_art_068,0.66575154,0.150245222506
data_art_069,0.58238856,0.139290661389
data_art_070,0.473108955,0.204541914293
data_art_071,0.89304974,0.110293320165
data_art_072,0.6198937,0.233117242293
data_art_073,0.61172123,0.218467417883
data_art_074,0.835181915,0.0792460626706
data_art_075,0.874027785,0.181521863598
data_art_076,0.477170335,0.387463350973
data_art_077,0.86069034,0.0966196023195
data_art_078,0.46000106,0.30208335077
data_art_079,0.598938815,0.138875566967
data_art_080,0.52647893,0.177930048391
data_art_081,0.385338321053,0.32551544096
data_art_082,0.46602678,0.30901011839
data_art_083,0.803292585,0.107489631081
data_art_084,0.729930055,0.28798501718
data_art_090,0.56878575,0.12975700609
data_art_091,0.683424075,0.106527562042
data_art_092,0.7135665,0.140020224815
data_art_093,0.84787756,0.114671493104
data_art_094,0.574835865,0.261992642509
data_art_095,0.658176835,0.134315779114
data_art_096,0.57987439,0.182122945746
data_art_097,0.491305065,0.219165093769
data_art_098,0.59122229,0.119343126036
data_art_099,0.322990215,0.383669174247
data_art_100,0.820598115,0.139857866256
data_art_101,0.278487755,0.2553613487
data_art_102,0.219103322222,0.283531527851
data_art_103,0.6287615,0.213532710065
data_art_104,0.52957877,0.25399374043
data_art_105,0.203237825,0.249241867511
data_art_106,0.6439272,0.181216097658
data_art_107,0.42616163,0.238048816575
data_art_108,0.42722844,0.307321649287
data_art_109,0.56946899,0.270921850545
data_art_110,0.522899147059,0.172618297245
data_art_111,0.70037643,0.119873636101
data_art_112,0.375109565,0.283317493049
data_art_113,0.350894785,0.203321728133
data_art_114,0.49949689,0.314403834291
data_art_115,0.617599215,0.314630353428
data_art_116,0.591808375,0.167557902128
data_art_117,0.416924615,0.30460157817
data_art_118,0.378750695,0.283906780297
data_art_119,0.40541665,0.328086740978
data_art_120,0.667323235,0.332098629115
data_art_121,0.23026353,0.286958181845
data_art_122,0.460901565,0.138686661296
data_art_123,0.610402425,0.14075723118
data_art_124,0.54138046,0.178122445836
data_art_125,0.644877085,0.153487529515
data_art_126,0.60535587,0.171815841848
data_art_127,0.36211028,0.172951041303
data_art_128,0.60976463,0.2052316621
data_art_129,0.434166965,0.231270266482
data_art_130,0.58303914,0.214387670816
data_art_131,0.751589815,0.101071838264
data_art_132,0.26689482,0.269042632442
data_art_133,0.261157315,0.27181804221
data_art_134,0.65958333,0.217112814848
data_art_135,0.52395909,0.182665192519
data_art_136,0.67164288,0.154045590754
data_art_138,0.611865585,0.193410838918
data_art_139,0.546085838889,0.329660061145
data_art_140,0.71953098,0.185936807573
data_art_141,0.474266285,0.231194802226
data_art_142,0.60792851,0.148492737447
data_art_143,0.493834485,0.159783630795
data_art_144,0.42413631,0.203778065977
data_art_145,0.49349385,0.239477802997
data_art_146,0.856547615,0.157765551903
data_art_147,0.58245943,0.177312929189
data_art_148,0.74616478,0.142495235177
data_art_149,0.76445909,0.112663589846
data_art_150,0.37642427,0.266839831862
data_art_151,0.703631125,0.156110762912
data_art_152,0.556331695,0.160510220294
data_art_153,0.86659813,0.175788539572
data_art_154,0.51880607,0.187681528396
data_art_155,0.39828883,0.192439033998
data_art_156,0.54464121,0.17379936116
data_art_157,0.50846449,0.269450193465
data_art_158,0.754813155,0.0984198420912
data_art_159,0.4694939,0.176439167791
data_art_160,0.81984973,0.1260044247
data_art_161,0.39730941,0.215831807938
data_art_162,0.63234852,0.135019477582
data_art_163,0.33510219,0.25579982008
data_art_164,0.946314485,0.0893015748315
data_art_165,0.321666666667,0.361651305357
data_art_166,0.47341054,0.204433646245
data_art_167,0.322124165,0.262419488814
data_art_169,0.42427656,0.343877987893
data_art_170,0.57107292,0.196463525408
data_art_171,0.660957795,0.241069299013
data_art_172,0.565180505,0.147770203025
data_art_173,0.72216644,0.17013751824
data_art_174,0.913163015,0.0971801110912
data_art_175,0.677306545,0.168183160416
data_art_176,0.675466555,0.230762572784
data_art_177,0.50589876,0.188418291089
data_art_178,0.479768165,0.14969652201
data_art_179,0.53099186,0.21879583673
data_art_180,0.744816925,0.137877074967
data_art_181,0.77794135,0.134446515597
data_art_182,0.7376079,0.12387311669
data_art_183,0.223272215,0.233789396524
data_art_184,0.40250937,0.177729685321
data_art_185,0.416765858333,0.43654513716
data_art_186,0.726557875,0.170295190252
data_art_187,0.532520535,0.214724420534
data_art_188,0.63242111,0.174387600758
